Purchase Order;Vendor/Supplier;Product;Variant;SKU;Barcode;Supplier Code;ASIN;Text 1;Date 1;Weight;Total Weight;Weight Unit;Status;Received at;Retail Price;In Stock;Qty Ordered;Pack Size;Qty (packs) Ordered;Cost (base);Total Cost (base);Cost (supplier currency);Total Cost (supplier currency)
3147;Hamac;Hamac -- Couche lavable - Modèle Bleu Glacier - Taille S (4-8 kg) (Maroc);Default Title;AIHAM0004;3700635206040;;;;;200.0;2000.0;g;not delivered;;;0;10;;10;;;;
3147;Hamac;Hamac -- Couche lavable - Modèle Bleu Glacier - Taille M (6-12 kg) (Maroc);Default Title;AIHAM0005;3700635206057;;;;;200.0;2000.0;g;not delivered;;;0;10;;10;;;;
3147;Hamac;Hamac -- Couche lavable - Modèle Bleu Glacier - Taille L (9 - 17 kg) (Maroc);Default Title;AIHAM0006;3700635206064;;;;;200.0;2000.0;g;not delivered;;;0;10;;10;;;;
3147;Hamac;Hamac -- Couche lavable - Modèle Vert Cactus - Taille S (4-8 kg) (Maroc);Default Title;AIHAM0007;3700635206002;;;;;200.0;600.0;g;not delivered;;;2;3;;3;;;;
3147;Hamac;Hamac -- Couche lavable - Modèle Vert Cactus - Taille M (6-12 kg) (Maroc);Default Title;AIHAM0008;3700635206019;;;;;200.0;800.0;g;not delivered;;;0;4;;4;;;;
3147;Hamac;Hamac -- Couche lavable - Modèle Vert Cactus - Taille L (9 - 17 kg) (Maroc);Default Title;AIHAM0009;3700635206026;;;;;200.0;1000.0;g;not delivered;;;0;5;;5;;;;
3147;Hamac;Hamac -- Couche lavable - Modèle Jaune Canari - Taille M (6-12 kg) (Maroc);Default Title;AIHAM0011;3700635205975;;;;;200.0;800.0;g;not delivered;;;0;4;;4;;;;
3147;Hamac;Hamac -- Couche lavable - Modèle Jaune Canari - Taille L (9 - 17 kg) (Maroc);Default Title;AIHAM0012;3700635205982;;;;;200.0;800.0;g;not delivered;;;0;4;;4;;;;
3147;Hamac;Hamac -- Couche lavable - Modèle petit Nicolas (fines rayures)- Taille L (9-17 kg) (France) NOUVEAU;Default Title;AIHAM0100;3700635210849;;;;;200.0;400.0;g;not delivered;;;1;2;;2;;;;
3147;Hamac;Hamac -- Couche lavable - Chant des baleines - Taille L (9 - 17 kg) (France) - NOUVEAU;Default Title;AIHAM0102;3700635212782;;;;;200.0;800.0;g;not delivered;;;0;4;;4;;;;